id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
H1-5	57.7585163888668	1.70526976705782	63.4699833575453	37.219907714105	5.21800257316008	0.148111367343744	0.422512251526568
YES1P1	15.9251323164093	26.543972526872	14.8431404825209	0.559190621053209	-0.838587931372683	0.148126388172428	0.422512251526568
TONSL-AS1	18.9522243966036	7.12939237804114	20.1568952875843	2.82729498093953	1.49942241211759	0.148129894217258	0.422512251526568
AL391834.2	84.9265813988034	140.354411236982	79.278840396356	0.564847514927746	-0.824066641782243	0.148144162180395	0.422513126007473
VPS52	3901.27936212758	3129.43600089561	3979.92525916925	1.27177077851416	0.346838665511291	0.148159439686049	0.422516879308227
AC148476.1	12.9401642256812	4.61013571468132	13.7889408007425	2.99100539639877	1.58063051338295	0.148209442348717	0.422615730841849
ARL9	116.347593007823	50.8037690323452	123.026089048607	2.42159373983217	1.27595685070887	0.148222032420956	0.422615730841849
AC080013.1	106.035643135588	161.153082445902	100.419528940759	0.623131294894523	-0.682391921146254	0.148242034609243	0.422632943323554
MRPL20-AS1	1101.14298974643	759.358816382307	1135.96860885387	1.49595762154416	0.581069306205453	0.148285349499132	0.422716610012455
PABPC1L	1270.43578314959	839.420113574963	1314.35352044619	1.56578749923987	0.646888430639681	0.148383142145921	0.422955545894509
RAD51-AS1	259.554746059148	386.097095689044	246.660890776751	0.638857151558083	-0.64643471422766	0.148402954428253	0.422972180246961
CTDSP1	7803.49222688606	9448.66376223913	7635.85978009174	0.808141761865617	-0.307319706364019	0.148516654511664	0.423238431749557
PRICKLE2-AS1	3.75841346163003	5.90938056389511	3.5392436847536	0.598919573123709	-0.739565813485931	0.148524341446	0.423238431749557
PPP1R26	2151.73604177402	1613.01102251828	2206.6286722302	1.36801834669743	0.452087578551233	0.148567911014848	0.423322727713243
SEC14L2	4281.76642068373	3176.59616740042	4394.37619401197	1.38336003773754	0.46817668581527	0.148595200768943	0.423337374213722
ZNF699	173.258857877229	275.464230536342	162.844784738834	0.591164901598176	-0.758367477963183	0.14860102852567	0.423337374213722
NLRP3	258.15100850805	417.661296828158	241.897931339274	0.579172485399815	-0.787935028585233	0.148630707244718	0.423370406096123
RAB1A	11039.3360033748	9300.15465843922	11216.5474478993	1.20606031403157	0.270302056971361	0.148640602873849	0.423370406096123
GBAP1	234.219832414224	120.171579837799	245.840619196132	2.04574675250133	1.03262756173827	0.148875732200458	0.424000214905181
WDR83OS	5926.04738317054	4724.30552189435	6048.49718508596	1.28029340123215	0.356474466472928	0.14892251504083	0.424093542173767
USP30-AS1	38.4634836480842	15.8642141996784	40.7662045206449	2.5696957950474	1.36159758083826	0.149005103449991	0.424288807462088
AC078909.2	2.49355945499359	3.9980627027469	2.34026020612422	0.585348550065592	-0.772632151032135	0.149069301803317	0.424431675649054
PSMB1	8625.75086667847	7150.99820574234	8776.01872121931	1.22724387123633	0.295421962011336	0.149119863239231	0.424511089940083
UVRAG	2449.85294806954	3225.15746636582	2370.85438128191	0.735112752170034	-0.443962546270436	0.149131439628659	0.424511089940083
OLIG1	25.226259135175	6.14204086714932	27.1708187963895	4.42374438465764	2.14526802534636	0.149143066835561	0.424511089940083
MIR421	5.77724332803212	8.33453995311409	5.51667117416895	0.661904700823675	-0.595304578075644	0.149158998242831	0.424511089940083
TKT	13444.5148199499	16572.2245821298	13125.821219295	0.792037372788735	-0.336359588490451	0.149175877775478	0.424511089940083
EOMES	153.731193335912	71.5815911943326	162.101711858904	2.2645726248083	1.1792388073371	0.14918135814403	0.424511089940083
SERPINB10	4.86635033116844	1.65567886328299	5.19349719850032	3.1367780997109	1.64928347442545	0.149262405678492	0.424701784792046
RPL12P14	6.37189983597665	12.0449558652347	5.79385174643097	0.481018927031004	-1.05583443291586	0.149291757229845	0.424707956565899
PNPT1	2364.92486529953	1787.0449127685	2423.80713278015	1.3563213299576	0.439699011968226	0.149297120148343	0.424707956565899
AC005695.1	22.7739316558088	7.80972960375044	24.2986880416362	3.11133538220931	1.63753391662447	0.149306676466464	0.424707956565899
AC022905.1	7.71747483737089	2.47069208232576	8.25208840934573	3.33999063192759	1.73984405620515	0.149370293505337	0.424848984243609
TBC1D2	1483.44891073582	1050.54135131844	1527.55941949521	1.45406881659453	0.540095549182045	0.149385867185619	0.424853350121078
TSHZ3	901.654901210681	1213.09621302886	869.921025434798	0.71710802168179	-0.479737638991746	0.149488932492951	0.425106517950965
SLC31A1	4186.49292396918	3303.32134994796	4276.48245315259	1.29460079723093	0.372507297415612	0.149509875182232	0.425126125400722
VPS37D	261.587641527247	136.58445954432	274.324665480422	2.00846177080202	1.00609100128917	0.14959723784629	0.425334574308745
SOWAHD	55.3942815958239	23.980915632808	58.5951024739311	2.44340555511433	1.28889334121176	0.149628925741986	0.42538470453074
ATF6	6528.15706835597	5312.53872686311	6652.02079476598	1.25213596300573	0.32439122561246	0.149742357978578	0.425667197022893
UTP23	2044.37357388285	1533.43960667032	2096.4344740587	1.36714511933786	0.451166389862028	0.149774275389765	0.425679655143794
ZNF622	1997.22662520613	1478.92431674323	2050.03831218207	1.38616850705146	0.471102646732438	0.149774872549685	0.425679655143794
