id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
SNTG2	37.7260778784307	115.623493412646	29.7888299475323	0.257636480859643	-1.95659120396236	0.00101469713969119	0.00952179210495333
ANO9	1034.17499086904	394.343514254971	1099.3697220299	2.78784785926282	1.47915183140859	0.00102003365311797	0.009565936921075
CXCL3	34.7615724063411	103.09314168018	27.7990229672574	0.269649585939447	-1.89084227636826	0.00104140944136897	0.00974838239318632
MAFA-AS1	8.10364898213851	0.572111058695116	8.87106447839559	15.5058433910173	3.95474009377868	0.00104142088613724	0.00974838239318632
LINC02289	22.3389758910354	74.4277840304912	17.031459822723	0.22883201541706	-2.12763918415128	0.00104202881992109	0.00975105695030059
CELF3	51.5585274970551	2.4637524867763	56.5609707577958	22.9572455274527	4.52087764882291	0.00104356005570229	0.00975633548523897
TNFSF4	448.356412583683	133.904083578556	480.39709173389	3.5876209215984	1.84302745898006	0.00104809754573776	0.00979270639909286
LINC01612	4.80174076802813	22.3497452213577	3.01371145943819	0.134843213181609	-2.89064518403417	0.00105084235669848	0.00981532167924878
CENPW	669.124521754438	217.645415467857	715.127352241709	3.28574507624913	1.71622055347796	0.00105128982853687	0.00981647148442185
AC015908.2	11.1843510345392	35.3102072423409	8.72608074465504	0.247126296505887	-2.01667956006001	0.00105202905279933	0.00981731582635405
INSYN1-AS1	12.7219554046681	0.856782038251319	13.9309406079188	16.2596086121876	4.02322062535985	0.00105458409728238	0.00983737655609182
AC106799.1	4.24609751353461	13.4895780954389	3.30424602051821	0.244948062655528	-2.02945221379248	0.00105482889748267	0.00983737655609182
BACH2	386.917949994389	866.787727448551	338.022291876877	0.389971248060779	-1.35856033452589	0.00105553041945776	0.00983842295893037
LDLRAD2	113.628019608521	335.829823285696	90.9870783862299	0.27093209738203	-1.88399677484028	0.00105559129457248	0.00983842295893037
RBPMS2	272.095856527533	728.494203625166	225.591786895402	0.309668609266625	-1.69120294871899	0.00106064296625132	0.0098824624654137
CTNNAL1	1441.43375408243	2705.8816410327	1312.59460960508	0.485089439870742	-1.04367732168722	0.00106554203436574	0.00992505342751931
MITF	979.090369284059	1931.10108991724	882.086571780407	0.456779076137443	-1.13043152878408	0.00106804116727319	0.00994221157957202
AC112777.1	51.33814616981	6.19858723579424	55.9375782343219	9.02424634944329	3.1738064518534	0.00108471042135168	0.0100818769905915
HERC2P3	174.328116821494	455.954526852478	145.632188657832	0.319400685991983	-1.64656068359041	0.0010921513478579	0.0101479202456935
CLDN25	6.21049104343662	0.347613496228353	6.80788073039292	19.5846271915769	4.29164976062906	0.00109414095674232	0.0101601680803599
RDH16	191.106835614852	32.4534648318035	207.272598372728	6.38676330699849	2.67508498532474	0.00109878737924082	0.0101970568715011
AC079160.1	12.0869078805055	0.87303462358529	13.2295297723287	15.1534995462139	3.92157910277314	0.00110573395304743	0.0102583772596795
